wallet_address,XP,Farm Level,Farm Level Gold,XP Gold,Total Gold
0x0000000002C0FD34C64a4813d6568ABf13b0adDa,111,0,"0,0","0,2","0,2"
0x000042ae63a8018cf2aeaD44C7eAd5927D3E0000,9428,1,"0,0","19,1","19,1"
0x000461A73d3985eef4923655782aA5d0De75C111,478,0,"0,0","1,0","1,0"
0x0011658A8660eC3C7D735B94D654581CEB77a4bC,4150,0,"0,0","8,4","8,4"
0x0014ea9BBE130c8af7f00C8E61Fc07368bDaAf7d,304,0,"0,0","0,6","0,6"
0x0026E47b8e06A2eF8f237F802246BA8207C98a53,5274,3,"0,0","10,7","10,7"
0x002748dB885D4CCfe3C7C92143f0805F4eBEEC01,1051,0,"0,0","2,1","2,1"
0x00285869437a33a652c817c143A3029313FD5794,384878,10,"8,2","778,4","786,5"
0x00430eD74173cB5E61CB3D7e25b35a9790D8C4D4,960,1,"0,0","1,9","1,9"
0x00489dDbF5aA399EE576c066a25cc908e038721f,38820,6,"7,0","78,5","85,5"
0x0077D69054da203f631016D55CB2Ea997209366A,677,0,"0,0","1,4","1,4"
0x007f89a9F013Bf1A18470C8F3E7710FBC42cC780,711,0,"0,0","1,4","1,4"
0x00a091bD8F56D6295Bc008f14B43b40095B78ef2,231,0,"0,0","0,5","0,5"
0x00be51B545FA48B79f9E0d9C4fAd5E815999fCF5,60,0,"0,0","0,1","0,1"
0x00d2c498fb20d91d094B49B134088Ef746d09C1f,4104,1,"0,0","8,3","8,3"
0x00E0E0Fa5c60346582DCE5C3195a9940Ae7111FE,2226,1,"0,0","4,5","4,5"
0x00EB9616b9c51FC42D5783713C4e447E56dc6e72,1228,0,"0,0","2,5","2,5"
0x01117E94f863AcafB8F0Db5C05F5Cb58a20E16A8,44,0,"0,0","0,1","0,1"
0x01180F770161351e946f6665befA13beb56898fA,6166,0,"0,0","12,5","12,5"
0x012278c45C8dD8f997ed3c5d237d147D2344b219,320,0,"0,0","0,6","0,6"
0x0126f4A5dFbB152a54b0BFd1D9679BbEB52964eb,7630,0,"0,0","15,4","15,4"
0x012b38CcB3ae97A32CD24088bf9426D4ee5442d3,79718,10,"8,2","161,2","169,4"
0x012E84938d7DB1d17A9db9570AAd00a17cBe1f40,21,0,"0,0","0,0","0,0"
0x01535764501aE1DcCD6a7A4452e1368e4a32C83b,221,0,"0,0","0,4","0,4"
0x01551502443bd130638a6f010F60Dd82b528a05c,1,0,"0,0","0,0","0,0"
0x015cbf965F50E6347577C47e7BacC664052CE751,31977,10,"8,2","64,7","72,8"
0x015cbf965F50E6347577C47e7BacC664052CE751 copy,31977,10,"8,2","64,7","72,8"
0x015D7B05AD83FD73b7eb433a963bd98c439848b6,544,0,"0,0","1,1","1,1"
0x015D7B05AD83FD73b7eb433a963bd98c439848b6 copy,544,0,"0,0","1,1","1,1"
0x0166055A458694C27a1FefE05904a8C679591E34,120,0,"0,0","0,2","0,2"
0x0166055A458694C27a1FefE05904a8C679591E34 copy,120,0,"0,0","0,2","0,2"
0x017347cb75aC8725608e593EA35d83f9B2b3cfb8,347645,10,"8,2","703,1","711,2"
0x017347cb75aC8725608e593EA35d83f9B2b3cfb8 copy,347645,10,"8,2","703,1","711,2"
